corridor,n_events,median_duration,closure_rate
Non-corridor,1191,64.19872528333333,0.14273719563392107
Mysore Road,340,46.49359833333334,0.12352941176470589
Bellary Road 1,229,53.13025051666667,0.06550218340611354
Tumkur Road,228,38.735766049999995,0.03508771929824561
Bellary Road 2,142,61.23594264166667,0.04929577464788732
ORR East 2,123,723.1184666666667,0.016260162601626018
Magadi Road,116,65.018907025,0.0603448275862069
Hosur Road,105,63.30696068333334,0.0761904761904762
ORR East 1,94,48.878070908333335,0.06382978723404255
ORR North 1,88,63.36735225833334,0.10227272727272728
ORR North 2,83,59.8490193,0.03614457831325301
ORR West 1,77,66.95399586666666,0.012987012987012988
Old Madras Road,69,41.53308571666666,0.028985507246376812
West of Chord Road,60,46.69654666666666,0.05
Bannerghata Road,53,62.15927346666667,0.03773584905660377
Old Airport Road,42,69.86092775,0.023809523809523808
Varthur Road,38,88.73720448333333,0.13157894736842105
CBD 2,35,75.09085913333334,0.0
Hennur Main Road,31,104.52003925,0.06451612903225806
Airport New South Road,31,91.12731315,0.12903225806451613
IRR(Thanisandra road),18,62.403945725,0.16666666666666666
CBD 1,7,45.08455431666666,0.14285714285714285
